,flight_number,iata,icao,arrival_airport,terminal,gate,baggage,delay,scheduled,estimated,actual,estimated_runway,actual_runway,flight_type,airline_id,airport_id
5012,23,VS23,VIR23,Los Angeles International,2,,,,2021-03-05T17:40:00+00:00,2021-03-05T17:40:00+00:00,,,,ARRIVAL,,194
5013,1335,AS1335,ASA1335,Los Angeles International,6,69B,,,2021-03-05T12:56:00+00:00,2021-03-05T12:56:00+00:00,2021-03-05T12:42:00+00:00,2021-03-05T12:42:00+00:00,2021-03-05T12:42:00+00:00,ARRIVAL,,194
5014,1316,SQ1316,SIA1316,Los Angeles International,6,69B,,,2021-03-05T12:56:00+00:00,2021-03-05T12:56:00+00:00,2021-03-05T12:42:00+00:00,2021-03-05T12:42:00+00:00,2021-03-05T12:42:00+00:00,ARRIVAL,,194
5015,3653,QF3653,QFA3653,Los Angeles International,6,69B,,,2021-03-05T12:56:00+00:00,2021-03-05T12:56:00+00:00,2021-03-05T12:42:00+00:00,2021-03-05T12:42:00+00:00,2021-03-05T12:42:00+00:00,ARRIVAL,,194
5016,701,B6701,JBU701,Los Angeles International,5,59,,11.0,2021-03-05T12:35:00+00:00,2021-03-05T12:35:00+00:00,2021-03-05T12:46:00+00:00,2021-03-05T12:46:00+00:00,2021-03-05T12:46:00+00:00,ARRIVAL,,194
5017,1529,SQ1529,SIA1529,Los Angeles International,5,59,,11.0,2021-03-05T12:35:00+00:00,2021-03-05T12:35:00+00:00,2021-03-05T12:46:00+00:00,2021-03-05T12:46:00+00:00,2021-03-05T12:46:00+00:00,ARRIVAL,,194
5018,6052,EK6052,UAE6052,Los Angeles International,5,59,,11.0,2021-03-05T12:35:00+00:00,2021-03-05T12:35:00+00:00,2021-03-05T12:46:00+00:00,2021-03-05T12:46:00+00:00,2021-03-05T12:46:00+00:00,ARRIVAL,,194
5019,3883,DL3883,DAL3883,Los Angeles International,2,25,10,,2021-03-05T08:00:00+00:00,2021-03-05T08:00:00+00:00,2021-03-05T07:31:00+00:00,2021-03-05T07:31:00+00:00,2021-03-05T07:31:00+00:00,ARRIVAL,,194
5020,4786,UA4786,UAL4786,Los Angeles International,8,86A,4,,2021-03-05T07:26:00+00:00,2021-03-05T07:26:00+00:00,2021-03-05T07:04:00+00:00,2021-03-05T07:04:00+00:00,2021-03-05T07:04:00+00:00,ARRIVAL,,194
5021,2812,NZ2812,ANZ2812,Los Angeles International,8,86A,4,,2021-03-05T07:26:00+00:00,2021-03-05T07:26:00+00:00,2021-03-05T07:04:00+00:00,2021-03-05T07:04:00+00:00,2021-03-05T07:04:00+00:00,ARRIVAL,,194
