La Guardia,65,Los Angeles International
Roanoke Regional Airport,63,Los Angeles International
Greater Rochester International,30,Los Angeles International
Dothan Airport,8,Los Angeles International
Blue Grass,12,Los Angeles International
Dane County Regional,55,Los Angeles International
Jackson-evers,38,Los Angeles International
Valdosta Regional Airport,16,Los Angeles International
Albany International,25,Los Angeles International
Lafayette Regional,16,Los Angeles International
Municipal,74,Los Angeles International
NW Florida Beaches Int,29,Los Angeles International
Mc Ghee Tyson,26,Los Angeles International
Des Moines International,12,Los Angeles International
Tallahassee Regional Airport,29,Los Angeles International
Dannelly Field,44,Los Angeles International
Piedmont Triad International,91,Los Angeles International
Luis Munoz Marin International,39,Los Angeles International
Wilmington International,1,Los Angeles International
Gainesville Regional,8,Los Angeles International
Mid-Continent,79,Los Angeles International
Buffalo Niagara International,62,Los Angeles International
Dougherty County,28,Los Angeles International
Springfield-Branson Rg,4,Los Angeles International
Port Columbus International,17,Los Angeles International
Birmingham,101,Los Angeles International
South Bend Regional,21,Los Angeles International
Leonardo Da Vinci (Fiumicino),4,Los Angeles International
Barkley Regional,10,Los Angeles International
Ryan,3,Los Angeles International
Syracuse Hancock International Airport,20,Los Angeles International
Sheffield,1,Los Angeles International
Gulfport-Biloxi International,8,Los Angeles International
Mobile Regional Airport,14,Los Angeles International
Glynco Jetport,15,Los Angeles International
Evansville Regional Airport,14,Los Angeles International
Tri-cities Regional,15,Los Angeles International
El Paso International Airport,8,Los Angeles International
Quad-City,13,Los Angeles International
Harrisburg International,18,Los Angeles International
Pensacola International Airport,17,Los Angeles International
Myrtle Beach AFB,7,Los Angeles International
Lehigh Valley International,6,Los Angeles International
Alexandria International,29,Los Angeles International
Albert J Ellis,16,Los Angeles International
Page Field,2,Los Angeles International
Mariscal Sucre,8,Los Angeles International
Hewanorra,9,Los Angeles International
